2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09
1321186069593939968,1330862860587692033,1334694738608459778,1346701087525511168,1365777482381729802,1376998339129049094,1387327300576948225,1393010779574710272,1404884707276476424,1412888237073477638,1430523790451101703,1438156192518340616
1320259775041474560,1324603397618626560,1334193919312138246,1352595872626966528,1358688322130968585,1377264550492434432,1387879748425031681,1398865463342338051,1407567884025401348,1414700148962185238,1424028211231526920,1437230546984263691
1321599929203138560,1328277700163870721,1334489803354763264,1345592081461309440,1359560549558812675,1372993219282178049,1386810122815614976,1395550668178526209,1410371922072903685,1412866679231586308,1424670641287045122,1439543233604988933
1319222285706907651,1331895908913405955,1335223546335858690,1352199461519429633,1356322526964674561,1369798472929587201,1385039732522962944,1398899785780928513,1405102472964706314,1419828708316155904,1422908870784135174,1443212400342102017
1322218226198216704,1325725401398865920,1342510430971965440,1349523545034878976,1366029876013203457,1371104950365741064,1383728547609468929,1394430003471785986,1403910458310946820,1417594577616207875,1431838882186678276,1433565359374684161
1319734729076363265,1330350436377833476,1342545277685788674,1346151810717921282,1359314325979152391,1370240521751261192,1382218314617913345,1394485517639720962,1403842207631749123,1419160209692504073,1425752426641043458,1435966355518328834
1318249044951617537,1333178698720219136,1344398709170319362,1346610502357590016,1364945053525934083,1371444964102713344,1382015069718990852,1390075559212900361,1406332150949978112,1419005832772063233,1424705872681259017,1442163035800588295
1321511988451811330,1328517969547169792,1344187396196347905,1351841070808752128,1364576509671931905,1370275680668114947,1387655362371796994,1394390808158035970,1404453024660181001,1421167765805703168,1427482898505125888,1442797250208485381
1320902587852509197,1325049628773986304,1336946040767983617,1346329227629449217,1357267704135221253,1370266342666960896,1380328055873232900,1399267517164630024,1405582990265118731,1419838397829558274,1421810211975831553,1433770148318662691
1319328785783771136,1329351437667749892,1338255784686342145,1346694506830323712,1364916793278685193,1376708992525733888,1378404186107359234,1392993552590901252,1401600703806717956,1415352359316819971,1430577776831123458,1441849632368349191
1319018880585601025,1323395643151470595,1338493161652559876,1352840740389351424,1364486397105758208,1372933003702308873,1383145965306179585,1388578147432546307,1409240871497838597,1412530585143169028,1422927797924810757,1441991095857004546
1319245346288132096,1332896095618252804,1340654104608034816,1351622556038688769,1360408381014634497,1366972039479844866,1381710338748473345,1390031639699460097,1406828666722471938,1420500465649807371,1422260626798219267,1442923115785252867
1322533726413357056,1330072634567110662,1334120330529558528,1355431556609929227,1362486227073703936,1374431950857904137,1377857567267950600,1397052098013921282,1400603718848892928,1415728446622388226,1422469107182678031,1434273274159144962
1318828761723396097,1331361788122849280,1334430257856864258,1346839250604609538,1364121703899484163,1369403613773172741,1381406002587688962,1389608704111218693,1406127163560976386,1418720700890816515,1428714333693833218,1437850399617294341
1321290811418574850,1323859371093381121,1335724570125459460,1346634842738479105,1359586383208321027,1376909255090012164,1377962755349692416,1389922295611809793,1407327167382364163,1417608081287036931,1425234611773210625,1437400546810515456
1321953299831115778,1328399992562782208,1334718780870692865,1346649990723203073,1363996918116999171,1376988221847048199,1386983498477670401,1393385026528686080,1409505411124846594,1421149790381948937,1432870715674427393,1441942726363078660
1318610998492844034,1333154721142595585,1340057235150561280,1355981668683816965,1361302366058913796,1375445319656353805,1378225692064763904,1394453246186598401,1405682751630544897,1418673544557318147,1425653116460879875,1436428507878408196
1318503926451273728,1333445984790208515,1342437741825548289,1346720253666074629,1357132933446963203,1371603288404164608,1387169272779231236,1392965769261207555,1402879848603742213,1411192644861149184,1431706665095778308,1443091245111336962
1322168773894352898,1326137448959799298,1337482049935077379,1353349963770695680,1356678829058719747,1376973963008561154,1378286436995133442,1390754261194190850,1408801175378477058,1420796869882441732,1430247765586624514,1433015770682908672
1318638871140323330,1331276777105227777,1340824514243014656,1345821874975092738,1357759840693735426,1366336623886098433,1385738617264410624,1397966275112935425,1410033325952098305,1420351538636238848,1431290689527164937,1434276403172847618
1321166899246411778,1330587055303307267,1338477252179357700,1353722406720974848,1363220885088395265,1372969306527473664,1381503206593794048,1399180604000727046,1409317228164440069,1419920678052974593,1429148566556233738,1435636545793318920
1319990826496364545,1323672158657220616,1340484616428371971,1355722808714735616,1363527669778944000,1375304143624003585,1381606019541913610,1392556454524203009,1402746389122146309,1416905956257144833,1430195206767382529,1434664747643772928
1321843434819342336,1323479169347575813,1344311449770811393,1347201357787377664,1362783219293315074,1375187741500010496,1382499367811231744,1394611142480343043,1403642781617119235,1416103353638076420,1429887184149094400,1437841715587584004
1320764432893394945,1328758958379634690,1336807994210836481,1349197190757896193,1366157490031898632,1368783714235215875,1378358301667307522,1389544402901667844,1408138263110561795,1417199725099589642,1426856283626426378,1442108068515418112
1321627457657733121,1333129924518010884,1342491704444776448,1349834279153504256,1365816636259803138,1373469526004797455,1383113120609095687,1392197174574858242,1408716930664521730,1421581584478531588,1428761469705854978,1438311384757018624
1321424829384372226,1331186649892589568,1335887257757229056,1353186201361117184,1366006962283040771,1367218843832233987,1385304973110566913,1396106444089475078,1404491225806381056,1417205846904352778,1425991200830627842,1439995490645463047
1321125151090487297,1332944514613465091,1336740072062906369,1347380552786055169,1362743772577161218,1370254640558829568,1382142402006241282,1392151630750093312,1400649561459204097,1418521483090010112,1421922460568481792,1433434840217661441
1318215439420444674,1323751635525476352,1337653889433157633,1346636922911936512,1362113692947611649,1374359591627145217,1377734729072476160,1396571768962355201,1402309146511396866,1416948432418312195,1431655266299244545,1435290478853771269
1321619169478139904,1329032914638671875,1341963684046843910,1354563663869468681,1359562377600065542,1377462651178127363,1380931887691046913,1398848832754962440,1408622491904348165,1417937082777886724,1426619920763215872,1443220805589114883
1319606012895166464,1330385708209541120,1336761459951415297,1346609051614859264,1357709264467468290,1371489716680335366,1382837734792921098,1394640775481266178,1404885802446905348,1418194713212030980,1432908485633601541,1435737799332749315
1318588033315332110,1327340393906671616,1343693637444657152,1346206847095681024,1358418115219116034,1375165598330716162,1379933634677895175,1390214053100990466,1406354362910199808,1416303355861692420,1432848056479883264,1442963913507704834
1321962406927605761,1326762805207453696,1340194698758156289,1346132601887731717,1365310721274376195,1372920709882785793,1383841540125061130,1397518491155005446,1410264587438460929,1421716060693172229,1428078900941180933,1439875545030856704
1318612270449070080,1333452600218431491,1336029944841986048,1355717349710516224,1357090695094415365,1377235786119061510,1387170583981473796,1392984557100613637,1407470507474276359,1417671250969862147,1424239074450329600,1438496494613577730
1318715931078656003,1332830653558222850,1339700042555301888,1352720106409881601,1363666444068790279,1372006735716683783,1385777506716987398,1395412809341603840,1400556003033333761,1421617498395398145,1422420463221886976,1438668169695145986
1318807891588141058,1324743118260998147,1343699139213705217,1354392026377289734,1365680790156308482,1377214222090797057,1378878676670894083,1393028377733328896,1406426713693765632,1421134507684544520,1432748885688999939,1443607219350786048
1321909102373605377,1323060253114748928,1336029287548411904,1345478918191636480,1359616151043637248,1375091000658518030,1378446954577862658,1388676765384679425,1408484354397986821,1421461774788931587,1423224333774774273,1438682522016047109
1320385615310000129,1328314804713398272,1343313476282937345,1350390419423719425,1364338353013809154,1369609654762897409,1385951170586456064,1392622761709903873,1408289898730115077,1419726971307761670,1422567731338035200,1440308583329976341
1322701722876219392,1333139958979317766,1335569140413837312,1346293673324109824,1362853814110359552,1370440790758076419,1384747196860407819,1397437850883264515,1408924009182412807,1415526636536025090,1426195765731467271,1436090367808520194
1321316702135570432,1333131460065243139,1340874255999840257,1352414833518338049,1359615660607877125,1376992787124547586,1387107497664782344,1393350680765624323,1401087399472648196,1418405601600806912,1424782800432074753,1436392572457558021
1321512373845291008,1325015257463595008,1339938667457105920,1352024908344291334,1365026062808285190,1370143642975752195,1381700012959281152,1389285537685512194,1404080201743618058,1418790755951317002,1422302518118338564,1433074721893982218
1320188956462379008,1326602341278101507,1343340318003929088,1346627336263888896,1357291238735626247,1366365733593186306,1379249557754810370,1393238673936818176,1409222557690040321,1417255092974100491,1425808228189818882,1442681124032024580
1319665586222387200,1333188649937227782,1334850233126191110,1352676497702727683,1364033284125130754,1377451237411483652,1387414931272880142,1391760487134547968,1401784167751458817,1413587474375331840,1426316261160538115,1443780758875910144
1318978556471496706,1325620438773477376,1339591284143505410,1347565540366290945,1356798476785487874,1367101362735968256,1383064124926668805,1389252610750885888,1407690746740850696,1417954724452646913,1425626928740974594,1440467535460143111
1320132916853211143,1332798797722730496,1336135153664614401,1350163633523875840,1357792251431247876,1372149403478323200,1386158084834283525,1395340103531200518,1400147511420018692,1420744032825663503,1432134881706971140,1442627790533189637
1318315251075633155,1328228644226011137,1336159383185543168,1346164938407104513,1356211715118157825,1375484327010701315,1382828601859469312,1399137134435569670,1408303638619955206,1421210555713458182,1426543247451697153,1439734588021133318
1321398803354800130,1333142353993998336,1334818509428240384,1353789200152338435,1365343070561132546,1372891083328389122,1387169508801060866,1396831088731987973,1400140906867613703,1419864572450598912,1423564284928352259,1439953680657264650
